# {"t_start": 1574930205.0712144, "env_id": "Walker2d-v2"} 
r,l,t
1.303672,28,64.941124
18.762877,39,64.998709
33.769516,45,65.065183
41.360595,73,65.173107
15.12821,29,65.216344
12.2491,27,65.256144
4.831712,20,65.286041
11.967464,39,65.343743
31.238555,44,65.408707
6.960422,24,65.444165
18.616416,52,65.520904
24.617316,58,65.606468
26.454712,53,65.684597
9.367815,20,65.714377
30.002965,37,65.769094
29.532361,38,65.825047
43.295912,68,65.925711
41.961006,83,66.04848
7.059191,30,66.092616
43.235037,108,66.250582
23.3359,39,66.306469
39.711103,68,66.403726
4.736403,23,66.436614
7.373706,22,66.468019
26.284663,49,66.537949
9.959545,39,66.593707
39.474835,66,66.687349
41.807328,48,66.756324
32.296908,41,66.814912
5.753921,69,66.913773
183.916049,113,67.074849
10.824308,22,67.106247
21.808372,51,67.178924
19.772967,49,67.249128
36.127589,71,69.174696
39.634333,59,69.260102
44.921393,102,69.411231
8.877556,23,69.445298
6.705065,59,69.531957
17.924269,46,69.599444
17.562687,60,69.686659
22.314728,40,69.745247
